all	все
undefined	неопределённый
comments	комментарии
positive	положительные
negative	отрицательные
notes	комментарии
note	комментарии
ref	ID
id	ID

abaza	абазинский
acrhi	арчинский
adyghe	адыгейский
albanian	албанский
armenian	армянский
armenian_translit	армянский (транслит.)
bashkir	башкирский
belarusian	белорусский
beserman	бесермянский
bulgarian	болгарский
buryat	бурятский
chinese	китайский
chuvash	чувашский
dargwa	даргинский
english	английский
english_note	английский (комментарии)
erzya	эрзянский
estonian	эстонский
finnish	финский
french	французский
german	немецкий
greek	греческий
hill_mari	горномарийский
italian	итальянский
kalmyk	калмыцкий
kamas	камасинский
komi	коми
komi-zyrian	коми-зырянский
komi_permyak	коми-пермяцкий
komi_zyrian	коми-зырянский
latvian	латышский
lithuanian	литовский
meadow_mari	луговой марийский
moksha	мокшанский
nganasan	нганасанский
ossetic	осетинский
ossetic_digor	дигорский
ossetic_iron	иронский
polish	польский
romani	цыганский
russian	русский
selkup	селькупский
spanish	испанский
swedish	шведский
tatar	татарский
tsakhur	цахурский
tsakonian	цаконский
udmurt	удмуртский
ukrainian	украинский
yakut	якутский
yiddish	идиш
kadar	кадарский
